Código del producto,Código del fabricante,Descripción del producto,Column1,Stock,
302.03,122264106,Placa con extensión lateral de Clavícula en titanio de 6 orificios izq.,Stock,1,
302.04,122264107,Placa con extensión lateral de Clavícula en titanio de 7 orificios izq.,Stock,2,
302.05,122264108,Placa con extensión lateral de Clavícula en titanio de 8 orificios izq.,Stock,0,
302.06,122264204,Placa con extensión lateral de Clavícula en titanio de 3 orificios der.,Stock,6,
302.07,122264205,Placa con extensión lateral de Clavícula en titanio de 5 orificios der.,Stock,2,
302.08,122264206,Placa con extensión lateral de Clavícula en titanio de 6 orificios der.,Stock,4,
302.09,122264207,Placa con extensión lateral de Clavícula en titanio de 7 orificios der.,Stock,3,
302.1,122264208,Placa con extensión lateral de Clavícula en titanio de 8 orificios der.,Stock,0,
303,Placa gancho de Clavícula en titanio y sus componentes,,Stock,15,
303.01,122236104,Placa gancho de Clavícula en titanio de 4 orificios izq.,Stock,10,
303.02,122236304,Placa gancho de Clavícula en titanio de 4 orificios der. ,Stock,5,
304,Placa LISS proximal de Húmero en titanio y sus componentes,,Stock,65,
304.01,122238003,Placa LISS proximal de Húmero en titanio de 3 orificios,Stock,29,
304.02,122238005,Placa LISS proximal de Húmero en titanio de 5 orificios,Stock,10,
304.03,122238007,Placa LISS proximal de Húmero en titanio de 7 orificios,Stock,13,
304.04,122238009,Placa LISS proximal de Húmero en titanio de 9 orificios,Stock,5,
304.05,122238011,Placa LISS proximal de Húmero en titanio de 11 orificios,Stock,5,
304.06,122238013,Placa LISS proximal de Húmero en titanio de 13 orificios,Stock,3,
305,Placa distal posterolateral de Húmero en titanio y sus componentes,,Stock,58,
305.01,122243103,Placa distal posterolateral de Húmero en titanio de 3 orificios izq.,Stock,3,
305.02,122243105,Placa distal posterolateral de Húmero en titanio de 5 orificios izq.,Stock,2,
305.03,122243107,Placa distal posterolateral de Húmero en titanio de 7 orificios izq. ,Stock,12,
305.04,122243109,Placa distal posterolateral de Húmero en titanio de 9 orificios izq.,Stock,9,
305.05,122243114,Placa distal posterolateral de Húmero en titanio de 14 orificios izq.,Stock,1,
305.06,122243203,Placa distal posterolateral de Húmero en titanio de 3 orificios der.,Stock,3,
305.07,122243205,Placa distal posterolateral de Húmero en titanio de 5 orificios der. ,Stock,2,
305.08,122242207,Placa distal posterolateral de Húmero en titanio de 7 orificios der. ,Stock,12,
305.09,122243209,Placa distal posterolateral de Húmero en titanio de 9 orificios der. ,Stock,12,
305.1,122243214,Placa distal posterolateral de Húmero en titanio de 14 orificios der.,Stock,2,
306,Placa distal medial de Húmero en titanio y sus componentes ,,Stock,42,
306.01,122245103,Placa distal medial de Húmero en titanio de 3 orificios izq.,Stock,5,
306.02,122245105,Placa distal medial de Húmero en titanio de 5 orificios izq.,Stock,4,
306.03,122245107,Placa distal medial de Húmero en titanio de 7 orificios izq.,Stock,2,
306.04,122245109,Placa distal medial de Húmero en titanio de 9 orificios izq.,Stock,8,
306.05,122245114,Placa distal medial de Húmero en titanio de 14 orificios izq.,Stock,2,
306.06,122245203,Placa distal medial de Húmero en titanio de 3 orificios der.,Stock,1,
306.07,122245205,Placa distal medial de Húmero en titanio de 5 orificios der.,Stock,6,
306.08,122245207,Placa distal medial de Húmero en titanio de 7 orificios der.,Stock,4,
306.09,122245209,Placa distal medial de Húmero en titanio de 9 orificios der.,Stock,8,
306.1,122245214,Placa distal medial de Húmero en titanio de 14 orificios der.,Stock,2,
307,Placa bloqueada de Olécrano en titanio y sus componentes,,Stock,72,
307.01,122240104,Placa bloqueada de Olécrano en titanio de 4 orificios izq.,Stock,15,
307.02,122240106,Placa bloqueada de Olécrano en titanio de 6 orificios izq.,Stock,5,
307.03,122240108,Placa bloqueada de Olécrano en titanio de 8 orificios izq.,Stock,11,
307.04,122240204,Placa bloqueada de Olécrano en titanio de 4 orificios der.,Stock,21,
307.05,122240206,Placa bloqueada de Olécrano en titanio de 6 orificios der.,Stock,7,
307.06,122240208,Placa bloqueada de Olécrano en titanio de 8 orificios der. ,Stock,13,
308,Placa para Cabeza de radio en titanio y sus componentes,,Stock,11,
308.01,121236002,Placa para Cabeza de radio en titanio de 2 orificios,Stock,4,
308.02,121236003,Placa para Cabeza de radio en titanio de 3 orificios,Stock,3,
308.03,121236004,Placa para Cabeza de radio en titanio de 4 orificios,Stock,4,
309,Placa bloqueada estrecha fina 3.5 en titanio y sus componentes ,,Stock,18,
309.01,122226006,Placa bloqueada estrecha fina 3.5 en titanio de 6 orificios,Stock,17,
309.02,122226007,Placa bloqueada estrecha fina 3.5 en titanio de 7 orificios,Stock,0,
309.03,122226008,Placa bloqueada estrecha fina 3.5 en titanio de 8 orificios,Stock,0,
309.04,122226010,Placa bloqueada estrecha fina 3.5 en titanio de 10 orificios,Stock,3,
309.05,122226012,Placa bloqueada estrecha fina 3.5 en titanio de 12 orificios,Stock,0,
310,Placa en T de ángulo oblicuo distal de radio en titanio y sus componentes,,Stock,70,
310.01,122221103,Placa en T de ángulo oblicuo distal de radio en titanio de 3 orificios izq.,Stock,7,
310.02,122221104,Placa en T de ángulo oblicuo distal de radio en titanio de 4 orificios izq.,Stock,8,
310.03,122221105,Placa en T de ángulo oblicuo distal de radio en titanio de 5 orificios izq.,Stock,12,
310.04,122221106,Placa en T de ángulo oblicuo distal de radio en titanio de 6 orificios izq.,Stock,1,
310.05,122221203,Placa en T de ángulo oblicuo distal de radio en titanio de 3 orificios der.,Stock,11,
310.06,122221204,Placa en T de ángulo oblicuo distal de radio en titanio de 4 orificios der.,Stock,13,
310.07,122221205,Placa en T de ángulo oblicuo distal de radio en titanio de 5 orificios der.,Stock,17,
310.08,122221206,Placa en T de ángulo oblicuo distal de radio en titanio de 6 orificios der.,Stock,1,
311,Placa en T de ángulo recto distal de radio en titanio y sus componentes ,,Stock,1,
311.01,122220003,Placa en T de ángulo recto distal de radio en titanio 3 orificios,Stock,0,
311.02,122220004,Placa en T de ángulo recto distal de radio en titanio 4 orificios,Stock,0,
311.03,122220005,Placa en T de ángulo recto distal de radio en titanio 5 orificios,Stock,0,
311.04,122220006,Placa en T de ángulo recto distal de radio en titanio 6 orificios,Stock,3,
312,Placa gancho distal de Cúbito en titanio y sus componentes,,Stock,34,
312.01,122239003,Placa gancho distal de Cúbito en titanio 3 orificios,Stock,17,
312.02,122239004,Placa gancho distal de Cúbito en titanio 4 orificios,Stock,17,
313,Placa bloqueada de reconstrucción Pélvica en titanio y sus componentes ,,Stock,71,
313.01,122224006,Placa bloqueada de reconstrucción Pélvica en titanio 6 orificios ,Stock,3,
313.02,122224007,Placa bloqueada de reconstrucción Pélvica en titanio 7 orificios ,Stock,17,
313.03,122224008,Placa bloqueada de reconstrucción Pélvica en titanio 8 orificios ,Stock,10,
313.04,122224010,Placa bloqueada de reconstrucción Pélvica en titanio 10 orificios ,Stock,7,
313.05,122224012,Placa bloqueada de reconstrucción Pélvica en titanio 12 orificios ,Stock,9,
313.06,122224014,Placa bloqueada de reconstrucción Pélvica en titanio 14 orificios ,Stock,9,
313.07,122224016,Placa bloqueada de reconstrucción Pélvica en titanio 16 orificios ,Stock,8,
313.08,122224018,Placa bloqueada de reconstrucción Pélvica en titanio 18 orificios ,Stock,8,
313.09,122224020,Placa bloqueada de reconstrucción Pélvica en titanio 20 orificios ,Stock,0,
314,Placa curva de reconstrucción Pélvica en titanio y sus componentes ,,Stock,34,
314.01,122151006,Placa curva de reconstrucción Pélvica en titanio de 6 orificios,Stock,5,
314.02,122151008,Placa curva de reconstrucción Pélvica en titanio de 8 orificios,Stock,6,
314.03,122151010,Placa curva de reconstrucción Pélvica en titanio de 10 orificios,Stock,0,
314.04,122151012,Placa curva de reconstrucción Pélvica en titanio de 12 orificios,Stock,2,
314.05,122151014,Placa curva de reconstrucción Pélvica en titanio de 14 orificios,Stock,3,
314.06,122151016,Placa curva de reconstrucción Pélvica en titanio de 16 orificios,Stock,7,
314.07,122151018,Placa curva de reconstrucción Pélvica en titanio de 18 orificios,Stock,4,
314.08,122151020,Placa curva de reconstrucción Pélvica en titanio de 20 orificios,Stock,7,
315,Placa araña para Patela en titanio,,Stock,66,
315.01,,Placa araña para Patela en titanio 40,Stock,9,
315.02,,Placa araña para Patela en titanio 50,Stock,45,
315.03,,Placa araña para Patela en titanio 60,Stock,12,
316,Placa medial distal de Tibia en titanio y sus componentes ,,Stock,357,
316.01,122267106,Placa medial distal de Tibia en titanio 6 orificios izq.,Stock,10,
316.02,122267108,Placa medial distal de Tibia en titanio 8 orificios izq.,Stock,30,
316.03,122267110,Placa medial distal de Tibia en titanio 10 orificios izq.,Stock,48,
316.04,122267112,Placa medial distal de Tibia en titanio 12  orificios izq.,Stock,69,
316.05,122267114,Placa medial distal de Tibia en titanio 14 orificios izq.,Stock,22,
316.06,122267206,Placa medial distal de Tibia en titanio 6 orificios der.,Stock,16,
316.07,122267208,Placa medial distal de Tibia en titanio 8 orificios der.,Stock,31,
316.08,122267210,Placa medial distal de Tibia en titanio 10 orificios der.,Stock,55,
316.09,122267212,Placa medial distal de Tibia en titanio 12 orificios der.,Stock,66,
316.1,122267214,Placa medial distal de Tibia en titanio 14 orificios der.,Stock,10,
317,Placa anterolateral distal de Tibia en titanio y sus componentes ,,Stock,33,
317.01,122235107,Placa anterolateral distal de Tibia en titanio 7 orificios izq.,Stock,0,
317.02,122235109,Placa anterolateral distal de Tibia en titanio 9 orificios izq.,Stock,4,
317.03,122235111,Placa anterolateral distal de Tibia en titanio 11 orificios izq.,Stock,3,
317.04,122235113,Placa anterolateral distal de Tibia en titanio 13 orificios izq.,Stock,5,
317.05,122235115,Placa anterolateral distal de Tibia en titanio 15 orificios izq.,Stock,0,
317.06,122235119,Placa anterolateral distal de Tibia en titanio 19 orificios izq.,Stock,2,
317.07,122235121,Placa anterolateral distal de Tibia en titanio 21 orificios izq.,Stock,0,
317.08,122235205,Placa anterolateral distal de Tibia en titanio 5 orificios der.,Stock,3,
317.09,122235207,Placa anterolateral distal de Tibia en titanio 7 orificios der.,Stock,1,
317.1,122235209,Placa anterolateral distal de Tibia en titanio 9 orificios der.,Stock,2,
317.11,122235211,Placa anterolateral distal de Tibia en titanio 11 orificios der.,Stock,5,
317.12,122235213,Placa anterolateral distal de Tibia en titanio 13 orificios der.,Stock,3,
317.13,122235215,Placa anterolateral distal de Tibia en titanio 15 orificios der.,Stock,5,
317.14,122235117,Placa anterolateral distal de Tibia en titanio 19 orificios der.,Stock,0,
317.15,122235221,Placa anterolateral distal de Tibia en titanio 21 orificios der.,Stock,0,
318,Placa distal medial de Tibia con extención en titanio ,,Stock,36,
318.01,122237106,Placa distal medial de Tibia con extención en titanio 6 orificios izq.,Stock,0,
318.02,122223108,Placa distal medial de Tibia con extención en titanio 8 orificios izq.,Stock,1,
318.03,122237110,Placa distal medial de Tibia con extención en titanio 10 orificios izq.,Stock,8,
318.04,122237112,Placa distal medial de Tibia con extención en titanio 12 orificios izq.,Stock,10,
318.05,122237114,Placa distal medial de Tibia con extención en titanio 14 orificios izq.,Stock,1,
318.06,122237206,Placa distal medial de Tibia con extención en titanio 6 orificios der.,Stock,0,
318.07,122237208,Placa distal medial de Tibia con extención en titanio 8 orificios der.,Stock,0,
318.08,122237210,Placa distal medial de Tibia con extención en titanio 10 orificios der.,Stock,5,
318.09,122237212,Placa distal medial de Tibia con extención en titanio 12 orificios der.,Stock,10,
318.1,122237214,Placa distal medial de Tibia con extención en titanio 14 orificios der.,Stock,1,
319,Placa bloqueada distal de Peroné en titanio y sus componentes ,,Stock,143,
319.01,122242103,Placa bloqueada distal de Peroné en titanio de 3 orificios izq.,Stock,6,
319.02,122242104,Placa bloqueada distal de Peroné en titanio de 4 orificios izq.,Stock,16,
319.03,122242105,Placa bloqueada distal de Peroné en titanio de 5 orificios izq.,Stock,12,
319.04,122242106,Placa bloqueada distal de Peroné en titanio de 6 orificios izq.,Stock,31,
319.05,122242107,Placa bloqueada distal de Peroné en titanio de 7 orificios izq.,Stock,10,
319.06,122242203,Placa bloqueada distal de Peroné en titanio de 3 orificios der.,Stock,5,
319.07,122242204,Placa bloqueada distal de Peroné en titanio de 4 orificios der.,Stock,10,
319.08,122242205,Placa bloqueada distal de Peroné en titanio de 5 orificios der.,Stock,11,
319.09,122242206,Placa bloqueada distal de Peroné en titanio de 6 orificios der.,Stock,30,
319.1,122242207,Placa bloqueada distal de Peroné en titanio de 7 orificios der.,Stock,12,
320,Placa bloqueada tercio de tubo y sus componentes ,,Stock,204,
320.01,122247006,Placa bloqueada tercio de tubo 6 orificios ,Stock,22,
320.02,122247007,Placa bloqueada tercio de tubo 7 orificios ,Stock,40,
320.03,122247008,Placa bloqueada tercio de tubo 8 orificios  ,Stock,19,
320.04,122247010,Placa bloqueada tercio de tubo 10 orificios ,Stock,32,
320.05,122247012,Placa bloqueada tercio de tubo 12 orificios ,Stock,38,
320.06,122247014,Placa bloqueada tercio de tubo 14 orificios ,Stock,53,
321,Placa bloqueada de Calcáneo en titanio y sus componentes ,,Stock,1,
321.01,122234169,Placa bloqueada de Calcáneo en titanio 15 orificios der.,Stock,1,
321.02,122234269,Placa bloqueada de Calcáneo en titanio 15 orificios izq.,Stock,0,
322,Placa 3.5 distal medial de Tibia en titanio y sus componentes ,,Stock,10,
322.01,122158210,Placa 3.5 distal medial de Tibia en titanio de 10 orificios der. (error),Stock,5,
322.02,122158110,Placa 3.5 distal medial de Tibia en titanio de 10 orificios izq. (error),Stock,5,
323,Tornillo de bloqueo en titanio 3.5,,Stock,2087,
323.01,132214014,Tornillo de bloqueo en titanio 3.5x14mm,Stock,108,
323.02,132214016,Tornillo de bloqueo en titanio 3.5x16mm,Stock,159,
323.03,132214018,Tornillo de bloqueo en titanio 3.5x18mm,Stock,321,
323.04,132214020,Tornillo de bloqueo en titanio 3.5x20mm,Stock,142,
323.05,132214022,Tornillo de bloqueo en titanio 3.5x22mm,Stock,148,
323.06,132214024,Tornillo de bloqueo en titanio 3.5x24mm,Stock,74,
323.07,132214026,Tornillo de bloqueo en titanio 3.5x26mm,Stock,61,
323.08,132214028,Tornillo de bloqueo en titanio 3.5x28mm,Stock,141,
323.09,132214030,Tornillo de bloqueo en titanio 3.5x30mm,Stock,130,
323.1,132214032,Tornillo de bloqueo en titanio 3.5x32mm,Stock,70,
323.11,132214034,Tornillo de bloqueo en titanio 3.5x34mm,Stock,22,
323.12,132214036,Tornillo de bloqueo en titanio 3.5x36mm,Stock,60,
323.13,132214038,Tornillo de bloqueo en titanio 3.5x38mm,Stock,141,
323.14,132214040,Tornillo de bloqueo en titanio 3.5x40mm,Stock,97,
323.15,132214042,Tornillo de bloqueo en titanio 3.5x42mm,Stock,140,
323.16,132214044,Tornillo de bloqueo en titanio 3.5x44mm,Stock,70,
323.17,132214046,Tornillo de bloqueo en titanio 3.5x46mm,Stock,109,
323.18,132214048,Tornillo de bloqueo en titanio 3.5x48mm,Stock,94,
324,Tornillo Cortical en titanio 3.5,,Stock,1588,
324.01,132112016,Tornillo Cortical en titanio 3.5x16mm,Stock,209,
324.02,132112018,Tornillo Cortical en titanio 3.5x18mm,Stock,261,
324.03,132112020,Tornillo Cortical en titanio 3.5x20mm,Stock,93,
324.04,132112022,Tornillo Cortical en titanio 3.5x22mm,Stock,112,
324.05,132112024,Tornillo Cortical en titanio 3.5x24mm,Stock,149,
324.06,132112026,Tornillo Cortical en titanio 3.5x26mm,Stock,121,
324.07,132112028,Tornillo Cortical en titanio 3.5x28mm,Stock,115,
324.08,132112030,Tornillo Cortical en titanio 3.5x30mm,Stock,98,
324.09,132112032,Tornillo Cortical en titanio 3.5x32mm,Stock,107,
324.1,132112034,Tornillo Cortical en titanio 3.5x34mm,Stock,127,
324.11,132112036,Tornillo Cortical en titanio 3.5x36mm,Stock,38,
324.12,132112038,Tornillo Cortical en titanio 3.5x38mm,Stock,53,
324.13,132112040,Tornillo Cortical en titanio 3.5x40mm,Stock,59,
324.14,132112042,Tornillo Cortical en titanio 3.5x42mm,Stock,46,
325,Tornillo de Esponjosa en titanio 4.0,,Stock,1057,
325.01,132117218,Tornillo de Esponjosa en titanio 4.0x18mm,Stock,22,
325.02,132117220,Tornillo de Esponjosa en titanio 4.0x20mm,Stock,16,
325.03,132117222,Tornillo de Esponjosa en titanio 4.0x22mm,Stock,42,
325.04,132117224,Tornillo de Esponjosa en titanio 4.0x24mm,Stock,12,
325.05,132117226,Tornillo de Esponjosa en titanio 4.0x26mm,Stock,44,
325.06,132117228,Tornillo de Esponjosa en titanio 4.0x28mm,Stock,45,
325.07,132117230,Tornillo de Esponjosa en titanio 4.0x30mm,Stock,10,
325.08,132117232,Tornillo de Esponjosa en titanio 4.0x32mm,Stock,26,
325.09,132117234,Tornillo de Esponjosa en titanio 4.0x34mm,Stock,45,
325.1,132117236,Tornillo de Esponjosa en titanio 4.0x36mm,Stock,48,
325.11,132117238,Tornillo de Esponjosa en titanio 4.0x38mm,Stock,107,
325.12,132117240,Tornillo de Esponjosa en titanio 4.0x40mm,Stock,164,
325.13,132117242,Tornillo de Esponjosa en titanio 4.0x42mm,Stock,106,
325.14,132117244,Tornillo de Esponjosa en titanio 4.0x44mm,Stock,65,
325.15,132117246,Tornillo de Esponjosa en titanio 4.0x46mm,Stock,128,
325.16,132117248,Tornillo de Esponjosa en titanio 4.0x48mm,Stock,106,
325.17,132117250,Tornillo de Esponjosa en titanio 4.0x50mm,Stock,35,
325.18,132117252,Tornillo de Esponjosa en titanio 4.0x52mm,Stock,36,
326,Tornillo de Esponjosa de rosca parcial en titanio 4.0,,Stock,1890,
326.01,132115030,Tornillo de Esponjosa de rosca parcial en titanio 4.0x30mm,Stock,3,
326.02,132115032,Tornillo de Esponjosa de rosca parcial en titanio 4.0x32mm,Stock,144,
326.03,132115034,Tornillo de Esponjosa de rosca parcial en titanio 4.0x34mm,Stock,123,
326.04,132115036,Tornillo de Esponjosa de rosca parcial en titanio 4.0x36mm,Stock,137,
326.05,132115038,Tornillo de Esponjosa de rosca parcial en titanio 4.0x38mm,Stock,179,
326.06,132115040,Tornillo de Esponjosa de rosca parcial en titanio 4.0x40mm,Stock,260,
326.07,132115042,Tornillo de Esponjosa de rosca parcial en titanio 4.0x42mm,Stock,129,
326.08,132115044,Tornillo de Esponjosa de rosca parcial en titanio 4.0x44mm,Stock,182,
326.09,132115046,Tornillo de Esponjosa de rosca parcial en titanio 4.0x46mm,Stock,96,
326.1,132115048,Tornillo de Esponjosa de rosca parcial en titanio 4.0x48mm,Stock,100,
326.11,132115050,Tornillo de Esponjosa de rosca parcial en titanio 4.0x50mm,Stock,129,
326.12,132115052,Tornillo de Esponjosa de rosca parcial en titanio 4.0x52mm,Stock,90,
326.13,132115054,Tornillo de Esponjosa de rosca parcial en titanio 4.0x54mm,Stock,51,
326.14,132115056,Tornillo de Esponjosa de rosca parcial en titanio 4.0x56mm,Stock,9,
326.15,132115058,Tornillo de Esponjosa de rosca parcial en titanio 4.0x58mm,Stock,94,
326.16,132115060,Tornillo de Esponjosa de rosca parcial en titanio 4.0x60mm,Stock,99,
326.17,132115065,Tornillo de Esponjosa de rosca parcial en titanio 4.0x65mm,Stock,58,
327,Tornillo Canulado en titanio 4.5 ,,Stock,7,
327.01,134211030,Tornillo Canulado en titanio 4.5x30mm,Stock,242,
327.02,134211034,Tornillo Canulado en titanio 4.5x34mm,Stock,23,
327.03,134211036,Tornillo Canulado en titanio 4.5x36mm,Stock,24,
327.04,134211038,Tornillo Canulado en titanio 4.5x38mm,Stock,0,
327.05,134211040,Tornillo Canulado en titanio 4.5x40mm,Stock,24,
327.06,134211042,Tornillo Canulado en titanio 4.5x42mm,Stock,0,
327.07,134211044,Tornillo Canulado en titanio 4.5x44mm,Stock,25,
327.08,134211046,Tornillo Canulado en titanio 4.5x46mm,Stock,0,
327.09,134211048,Tornillo Canulado en titanio 4.5x48mm,Stock,15,
327.1,134211050,Tornillo Canulado en titanio 4.5x50mm,Stock,0,
327.11,134211052,Tornillo Canulado en titanio 4.5x52mm,Stock,21,
327.12,134211054,Tornillo Canulado en titanio 4.5x54mm,Stock,0,
327.13,134211056,Tornillo Canulado en titanio 4.5x56mm,Stock,24,
327.14,134211058,Tornillo Canulado en titanio 4.5x58mm,Stock,24,
327.15,134211060,Tornillo Canulado en titanio 4.5x60mm,Stock,0,
327.16,134211064,Tornillo Canulado en titanio 4.5x64mm,Stock,21,
327.17,134211068,Tornillo Canulado en titanio 4.5x68mm,Stock,28,
328,134211000,Arandela de tornillo en titanio 4.5 ,Stock,13,
400,,Fijadores externos ,Stock,5,
401,H10-1001,Fijador externo X-Caliber,Stock,23,
402,H10-1002,Fijador externo X-Caliber para Pilón Tibial,Stock,0,
403,H10-1004,Fijador externo híbrido,Stock,25,
404,,Fijador externo SRL 300 mm,Stock,18,
405,H10-601,Fijador externo SRL 400 mm,Stock,24,
406,H10-603,Fijador externo SRL en T,Stock,10,
407,H10-902,Fijador externo SRL híbrido,Stock,4,
408,H10-801,Fijador externo para Codo,Stock,15,
409,,Fijador externo para Muñeca,Stock,29,
410,,Fijador externo para Pelvis,Stock,3,
411,,Fijador externo para Cadera,Stock,2,
412,H10-802,Fijador externo para rodilla,Stock,10,
413,,Fijador externo para rodilla flotante,Stock,5,
414,Schanz 6.0,,Stock,38,
,,Schanz 6.0x130,Stock,3,
414.01,,Schanz 6.0x140,Stock,21,
414.02,,Schanz 6.0x150,Stock,416,
414.03,,Schanz 6.0x160,Stock,2,
414.04,,Schanz 6.0x180,Stock,0,
414.05,,Schanz 6.0x200,Stock,36,
414.06,,Schanz 6.0x220,Stock,0,
414.07,,Schanz 6.0x270 rosca larga,Stock,10,
415,Schanz 6.0 con Hidroxiapatita,,Stock,511,
415.01,SHA6016030S,Schanz 6.0x160 con Hidroxiapatita,Stock,224,
415.02,SHA6018040S,Schanz 6.0x180 con Hidroxiapatita,Stock,200,
415.03,SHA6020050S,Schanz 6.0x200 con Hidroxiapatita,Stock,50,
415.04,SHA6022060S,Schanz 6.0x220 con Hidroxiapatita,Stock,37,
416,Schanz 2.5,,Stock,0,
416.01,,Schanz 2.5x60,Stock,8,
417,Schanz 3.5,,Stock,0,
417.01,,Schanz 3.5x70,Stock,14,
418,Schanz 4.0,,Stock,0,
418.01,,Schanz 4.0x160,Stock,0,
418.02,,Schanz 4.0x180,Stock,0,
418.03,,Schanz 4.0x200,Stock,0,
418.04,,Schanz 4.0x220,Stock,0,
419,Schanz 4.5,,Stock,0,
419.01,,Schanz 4.5x120,Stock,0,
420,Schanz 6.5,,Stock,0,
420.01,,Schanz 6.5x200,Stock,6,
421,Schanz 7.0,,Stock,0,
421.01,,Schanz 7.0x250,Stock,6,
421.02,,Schanz 7.0x300,Stock,4,
422,Schanz 8.0,,Stock,0,
422.01,,Schanz 8.0x300,Stock,3,
423,Aguja Kirschner,,Stock,0,
423.01,,Aguja Kirschner 1.5,Stock,0,
423.02,,Aguja Kirschner 1.8,Stock,0,
423.03,,Aguja Kirschner 2.0,Stock,0,
500,,Columna,Stock,,
501,Tornillo Pedicular Poliaxial estándar en titanio ,,Stock,,
501.01,232516125,Tornillo Pedicular Poliaxial estándar en titanio 4.5x25mm,Stock,91,
501.02,232516130,Tornillo Pedicular Poliaxial estándar en titanio 4.5x30mm,Stock,13,
501.03,232516135,Tornillo Pedicular Poliaxial estándar en titanio 4.5x35mm,Stock,3,
501.04,232516235,Tornillo Pedicular Poliaxial estándar en titanio 5.0x35mm,Stock,14,
501.05,232516240,Tornillo Pedicular Poliaxial estándar en titanio 5.0x40mm,Stock,24,
501.06,232516335,Tornillo Pedicular Poliaxial estándar en titanio 5.5x35mm,Stock,0,
501.07,232516340,Tornillo Pedicular Poliaxial estándar en titanio 5.5x40mm,Stock,0,
501.08,232516345,Tornillo Pedicular Poliaxial estándar en titanio 5.5x45mm,Stock,0,
501.09,232516435,Tornillo Pedicular Poliaxial estándar en titanio 6.0x35mm,Stock,0,
501.1,232516440,Tornillo Pedicular Poliaxial estándar en titanio 6.0x40mm,Stock,27,
501.11,232516445,Tornillo Pedicular Poliaxial estándar en titanio 6.0x45mm,Stock,3,
501.12,232516530,Tornillo Pedicular Poliaxial estándar en titanio 6.5x30mm,Stock,2,
501.13,232516535,Tornillo Pedicular Poliaxial estándar en titanio 6.5x35mm,Stock,0,
501.14,232516540,Tornillo Pedicular Poliaxial estándar en titanio 6.5x40mm,Stock,5,
501.15,232516545,Tornillo Pedicular Poliaxial estándar en titanio 6.5x45mm,Stock,31,
501.16,232516635,Tornillo Pedicular Poliaxial estándar en titanio 7.0x35mm,Stock,3,
501.17,232516640,Tornillo Pedicular Poliaxial estándar en titanio 7.0x40mm,Stock,21,
502,Tornillo Pedicular Poliaxial de reducción en titanio ,,Stock,660,
502.02,,Tornillo Pedicular Poliaxial de reducción en titanio 4.5x30mm,Stock,2,
502.03,232512135,Tornillo Pedicular Poliaxial de reducción en titanio 4.5x35mm,Stock,0,
502.05,232512235,Tornillo Pedicular Poliaxial de reducción en titanio 5.0x35mm,Stock,29,
502.06,232512240,Tornillo Pedicular Poliaxial de reducción en titanio 5.0x40mm,Stock,0,
502.07,,Tornillo Pedicular Poliaxial de reducción en titanio 5.5x35mm,Stock,10,
502.08,232512340,Tornillo Pedicular Poliaxial de reducción en titanio 5.5x40mm,Stock,67,
502.09,232512345,Tornillo Pedicular Poliaxial de reducción en titanio 5.5x45mm,Stock,0,
502.1,232512435,Tornillo Pedicular Poliaxial de reducción en titanio 6.0x35mm,Stock,12,
502.11,232512440,Tornillo Pedicular Poliaxial de reducción en titanio 6.0x40mm,Stock,15,
502.12,232512445,Tornillo Pedicular Poliaxial de reducción en titanio 6.0x45mm,Stock,40,
502.13,232512535,Tornillo Pedicular Poliaxial de reducción en titanio 6.5x35mm,Stock,0,
502.14,232512540,Tornillo Pedicular Poliaxial de reducción en titanio 6.5x40mm,Stock,56,
502.15,232512545,Tornillo Pedicular Poliaxial de reducción en titanio 6.5x45mm,Stock,0,
502.17,232512635,Tornillo Pedicular Poliaxial de reducción en titanio 7.0x35mm,Stock,62,
502.18,232512640,Tornillo Pedicular Poliaxial de reducción en titanio 7.0x40mm,Stock,0,
503,Barra en titanio 5.5,,Stock,0,
503.01,232519240,Barra en titanio 5.5x400,Stock,0,
503.02,232519250,Barra en titanio 5.5x500,Stock,0,
503.03,232519260,Barra en titanio 5.5x600,Stock,0,
504,Crosslink en titanio,,Stock,0,
504.03,232510640,Crosslink en titanio 40,Stock,0,
504.04,232510646,Crosslink en titanio 46,Stock,0,
504.05,232510650,Crosslink en titanio 50,Stock,6,
504.06,232510656,Crosslink en titanio 56,Stock,0,
504.07,232510660,Crosslink en titanio 60,Stock,6,
505,Gancho Torácica Supralaminar en titanio,,Stock,4,
505.01,232510401,Gancho Torácica supralaminar en titanio S,Stock,0,
505.02,232510402,Gancho Torácica supralaminar en titanio M,Stock,3,
505.03,232510403,Gancho Torácica supralaminar en titanio L,Stock,28,
506,Caja Transforaminal de torsión Intersomática Lumbar (TLIF),,Stock,0,
506.01,253410007,Caja Transforaminal de torsión Intersomática Lumbar (TLIF) 7mm,Stock,10,
506.02,253410008,Caja Transforaminal de torsión Intersomática Lumbar (TLIF) 8mm,Stock,37,
506.03,253410009,Caja Transforaminal de torsión Intersomática Lumbar (TLIF) 9mm,Stock,20,
506.04,253410010,Caja Transforaminal de torsión Intersomática Lumbar (TLIF) 10mm,Stock,2523,
506.05,253410011,Caja Transforaminal de torsión Intersomática Lumbar (TLIF) 11mm,Stock,35,
506.06,253410012,Caja Transforaminal de torsión Intersomática Lumbar (TLIF) 12mm,Stock,19,
506.07,253410013,Caja Transforaminal de torsión Intersomática Lumbar (TLIF) 13mm,Stock,5,
506.08,253410015,Caja Transforaminal de torsión Intersomática Lumbar (TLIF) 15mm,Stock,19,
