Código del producto,Código del fabricante,Descripción del producto,Column1,Stock,
104.05,135700036,Tornillo de bloqueo en titanio 3.9x36mm,Stock,0,
104.06,135700038,Tornillo de bloqueo en titanio 3.9x38mm,Stock,84,
104.07,135700040,Tornillo de bloqueo en titanio 3.9x40mm,Stock,76,
104.08,135700042,Tornillo de bloqueo en titanio 3.9x42mm,Stock,32,
104.09,135700044,Tornillo de bloqueo en titanio 3.9x44mm,Stock,49,
105,Clavo Gamma en titanio y sus componentes,,Stock,342,
105.01,135406517,Clavo Gamma en titanio 9x17,Stock,21,
105.02,135406520,Clavo Gamma en titanio 9x20,Stock,44,
105.03,135406524,Clavo Gamma en titanio 9x24,Stock,34,
105.04,135406617,Clavo Gamma en titanio 10x17,Stock,25,
105.05,135406620,Clavo Gamma en titanio 10x20,Stock,101,
105.06,135406624,Clavo Gamma en titanio 10x24,Stock,2,
105.07,135406717,Clavo Gamma en titanio 11x17,Stock,107,
105.08,135406720,Clavo Gamma en titanio 11x20,Stock,4,
105.09,135406724,Clavo Gamma en titanio 11x24,Stock,4,
106,Clavo Gamma largo en titanio y sus componentes,,Stock,263,
106.01,135403534,Clavo Gamma largo en titanio 9x34 izq.,Stock,0,
106.02,135403536,Clavo Gamma largo en titanio 9x36 izq.,Stock,15,
106.03,135403538,Clavo Gamma largo en titanio 9x38 izq.,Stock,21,
106.04,135403636,Clavo Gamma largo en titanio 10x36 izq.,Stock,2,
106.05,135403638,Clavo Gamma largo en titanio 10x38 izq.,Stock,22,
106.06,135403640,Clavo Gamma largo en titanio 10x40 izq.,Stock,15,
106.07,135403642,Clavo Gamma largo en titanio 10x42 izq.,Stock,19,
106.08,135403644,Clavo Gamma largo en titanio 10x44 izq.,Stock,0,
106.09,135403738,Clavo Gamma largo en titanio 11x38 izq.,Stock,0,
106.1,135403740,Clavo Gamma largo en titanio 11x40 izq.,Stock,12,
106.11,135403742,Clavo Gamma largo en titanio 11x42 izq.,Stock,20,
106.12,135403744,Clavo Gamma largo en titanio 11x44 izq.,Stock,0,
106.13,135404534,Clavo Gamma largo en titanio 9x34 Der,Stock,0,
106.14,135404536,Clavo Gamma largo en titanio 9x36 der.,Stock,23,
106.15,135404538,Clavo Gamma largo en titanio 9x38 der.,Stock,17,
106.16,135404636,Clavo Gamma largo en titanio 10x36 der.,Stock,1,
106.17,135404638,Clavo Gamma largo en titanio 10x38 der.,Stock,27,
106.18,135404640,Clavo Gamma largo en titanio 10x40 der.,Stock,21,
106.19,135404642,Clavo Gamma largo en titanio 10x42 der.,Stock,17,
106.2,135404644,Clavo Gamma largo en titanio 10x44 der.,Stock,0,
106.21,135404738,Clavo Gamma largo en titanio 11x38 der.,Stock,0,
106.22,135404740,Clavo Gamma largo en titanio 11x40 der.,Stock,16,
106.23,135404742,Clavo Gamma largo en titanio 11x42 der.,Stock,15,
106.24,135404744,Clavo Gamma largo en titanio 11x44 der.,Stock,0,
107,Tornillo deslizante en titanio 10.4 ,,Stock,140,
107.01,135400275,Tornillo deslizante en titanio 10.4x75mm,Stock,8,
107.02,135400280,Tornillo deslizante en titanio 10.4x80mm,Stock,18,
107.03,135400285,Tornillo deslizante en titanio 10.4x85mm,Stock,13,
107.04,135400290,Tornillo deslizante en titanio 10.4x90mm,Stock,101,
107.05,135400295,Tornillo deslizante en titanio 10.4x95mm,Stock,0,
108,,Candado para clavo Gamma en titanio,Stock,543,
109,Tornillo deslizante en titanio 7.0 ,,Stock,64,
109.01,135500260,Tornillo deslizante en titanio 7.0x60mm,Stock,0,
109.02,135500265,Tornillo deslizante en titanio 7.0x65mm,Stock,0,
109.03,135500270,Tornillo deslizante en titanio 7.0x70mm,Stock,2,
109.04,135500275,Tornillo deslizante en titanio 7.0x75mm,Stock,3,
109.05,135500280,Tornillo deslizante en titanio 7.0x80mm,Stock,24,
109.06,135500285,Tornillo deslizante en titanio 7.0x85mm,Stock,18,
109.07,135500290,Tornillo deslizante en titanio 7.0x90mm,Stock,12,
109.08,135500295,Tornillo deslizante en titanio 7.0x95mm,Stock,5,
109.09,135500200,Tornillo deslizante en titanio 7.0x100mm,Stock,0,
110,Clavo bloqueado Retrógrado en titanio y sus componentes ,,Stock,62,
110.01,,Clavo bloqueado Retrógrado en titanio 10x26,Stock,2,
110.02,,Clavo bloqueado Retrógrado en titanio 10x28,Stock,8,
110.03,,Clavo bloqueado Retrógrado en titanio 10x30,Stock,5,
110.04,,Clavo bloqueado Retrógrado en titanio 11x24,Stock,3,
110.05,,Clavo bloqueado Retrógrado en titanio 11x26,Stock,3,
110.06,,Clavo bloqueado Retrógrado en titanio 11x28,Stock,6,
110.07,,Clavo bloqueado Retrógrado en titanio 11x30,Stock,7,
110.08,,Clavo bloqueado Retrógrado en titanio 12x18,Stock,3,
110.09,,Clavo bloqueado Retrógrado en titanio 12x20,Stock,8,
110.1,,Clavo bloqueado Retrógrado en titanio 12x22,Stock,8,
110.11,,Clavo bloqueado Retrógrado en titanio 12x24,Stock,2,
110.12,,Clavo bloqueado Retrógrado en titanio 12x26,Stock,3,
110.13,,Clavo bloqueado Retrógrado en titanio 12x28,Stock,3,
110.14,,Clavo bloqueado Retrógrado en titanio 12x30,Stock,1,
111,Tornillo de bloqueo en titanio 4.8,,Stock,170,
111.01,,Tornillo de bloqueo en titanio 4.8x35mm,Stock,71,
111.02,,Tornillo de bloqueo en titanio 4.8x40mm,Stock,56,
111.03,,Tornillo de bloqueo en titanio 4.8x45mm,Stock,43,
112,Tornillo de bloqueo en titanio 6.0,,Stock,160,
112.01,,Tornillo de bloqueo en titanio 6.0x75mm,Stock,0,
112.02,,Tornillo de bloqueo en titanio 6.0x80mm,Stock,29,
112.03,,Tornillo de bloqueo en titanio 6.0x85mm,Stock,70,
112.04,,Tornillo de bloqueo en titanio 6.0x90mm,Stock,46,
112.05,,Tornillo de bloqueo en titanio 6.0x95mm,Stock,15,
200,,Placas 4.5,Stock,,
201,Placa LISS distal de Fémur en titanio y sus componentes,,Stock,283,
201.01,123421107,Placa LISS distal de Fémur en titanio de 7 orificios izq.,Stock,18,
201.02,123421109,Placa LISS distal de Fémur en titanio de 9 orificios izq.,Stock,31,
201.03,123421111,Placa LISS distal de Fémur en titanio de 11 orificios izq.,Stock,35,
201.04,123421113,Placa LISS distal de Fémur en titanio de 13 orificios izq.,Stock,18,
201.05,123421207,Placa LISS distal de Fémur en titanio de 7 orificios der. ,Stock,27,
201.06,123421209,Placa LISS distal de Fémur en titanio de 9 orificios der. ,Stock,45,
201.07,123421211,Placa LISS distal de Fémur en titanio de 11 orificios der. ,Stock,84,
201.08,123421213,Placa LISS distal de Fémur en titanio de 13 orificios der. ,Stock,25,
202,Placa LISS proximal de Tibia en titanio y sus componentes,,Stock,229,
202.01,123420105,Placa LISS proximal de Tibia en titanio de 5 orificios izq.,Stock,11,
202.02,123420107,Placa LISS proximal de Tibia en titanio de 7 orificios izq.,Stock,22,
202.03,123420109,Placa LISS proximal de Tibia en titanio de 9 orificios izq.,Stock,12,
