Codigo,,Descripcion de productos,Ubicación,Cantidad,
101.05,135503538,Clavo bloqueado de Fémur experto en titanio 9x38 izq.,AP/BAN-CF-7,1,
,,Clavo bloqueado de Fémur experto en titanio 9x40 izq.,AP/BAN-CF-7,1,
,,Clavo bloqueado de Fémur experto en titanio 10x34 izq.,AP/BAN-CF-7,1,
101.06,135503636,Clavo bloqueado de Fémur experto en titanio 10x36 izq.,AP/BAN-CF-7,1,
101.07,135503638,Clavo bloqueado de Fémur experto en titanio 10x38 izq.,AP/BAN-CF-7,1,
101.08,135503640,Clavo bloqueado de Fémur experto en titanio 10x40 izq.,AP/BAN-CF-7,1,
101.09,135503642,Clavo bloqueado de Fémur experto en titanio 10x42 izq.,AP/BAN-CF-7,1,
101.1,135503644,Clavo bloqueado de Fémur experto en titanio 10x44 izq.,AP/BAN-CF-7,1,
,,Clavo bloqueado de Fémur experto en titanio 11x36 izq.,AP/BAN-CF-7,1,
101.11,135503738,Clavo bloqueado de Fémur experto en titanio 11x38 izq.,AP/BAN-CF-7,1,
101.12,135503740,Clavo bloqueado de Fémur experto en titanio 11x40 izq.,AP/BAN-CF-7,1,
101.13,135503742,Clavo bloqueado de Fémur experto en titanio 11x42 izq.,AP/BAN-CF-7,1,
101.14,135503744,Clavo bloqueado de Fémur experto en titanio 11x44 izq.,AP/BAN-CF-7,1,
101.21,135504534,Clavo bloqueado de Fémur experto en titanio 9x34 der.,AP/BAN-CF-7,1,
101.22,135504536,Clavo bloqueado de Fémur experto en titanio 9x36 der.,AP/BAN-CF-7,1,
101.23,135504538,Clavo bloqueado de Fémur experto en titanio 9x38 der.,AP/BAN-CF-7,1,
101.24,135504636,Clavo bloqueado de Fémur experto en titanio 10x36 der.,AP/BAN-CF-7,1,
101.25,135504638,Clavo bloqueado de Fémur experto en titanio 10x38 der.,AP/BAN-CF-7,1,
101.26,135504640,Clavo bloqueado de Fémur experto en titanio 10x40 der.,AP/BAN-CF-7,1,
101.27,135504642,Clavo bloqueado de Fémur experto en titanio 10x42 der.,AP/BAN-CF-7,1,
101.28,135504644,Clavo bloqueado de Fémur experto en titanio 10x44 der.,AP/BAN-CF-7,1,
101.29,135504738,Clavo bloqueado de Fémur experto en titanio 11x38 der.,AP/BAN-CF-7,1,
101.3,135504740,Clavo bloqueado de Fémur experto en titanio 11x40 der.,AP/BAN-CF-7,1,
101.31,135504742,Clavo bloqueado de Fémur experto en titanio 11x42 der.,AP/BAN-CF-7,1,
