Codigo,,Descripcion de productos,Ubicación,Cantidad,
107.02,135400280,Tornillo deslizante en titanio 10.4x80mm,AP/BAN-CGC-3,1,
107.03,135400285,Tornillo deslizante en titanio 10.4x85mm,AP/BAN-CGC-3,1,
107.04,135400290,Tornillo deslizante en titanio 10.4x90mm,AP/BAN-CGC-3,1,
107.05,135400295,Tornillo deslizante en titanio 10.4x95mm,AP/BAN-CGC-3,1,
108,,Candado para clavo Gamma en titanio,AP/BAN-CGC-3,2,
102.01,135400036,Tornillo de bloqueo en titanio 4.9x36mm,AP/BAN-CGC-3,3,
102.02,135400038,Tornillo de bloqueo en titanio 4.9x38mm,AP/BAN-CGC-3,3,
102.03,135400040,Tornillo de bloqueo en titanio 4.9x40mm,AP/BAN-CGC-3,3,
102.04,135400042,Tornillo de bloqueo en titanio 4.9x42mm,AP/BAN-CGC-3,3,
105.01,135406517,Clavo Gamma en titanio 9x17,AP/BAN-CGC-4,1,
105.02,135406520,Clavo Gamma en titanio 9x20,AP/BAN-CGC-4,1,
105.03,135406524,Clavo Gamma en titanio 9x24,AP/BAN-CGC-4,1,
105.04,135406617,Clavo Gamma en titanio 10x17,AP/BAN-CGC-4,1,
105.05,135406620,Clavo Gamma en titanio 10x20,AP/BAN-CGC-4,1,
105.06,135406624,Clavo Gamma en titanio 10x24,AP/BAN-CGC-4,1,
105.07,135406717,Clavo Gamma en titanio 11x17,AP/BAN-CGC-4,1,
105.08,135406720,Clavo Gamma en titanio 11x20,AP/BAN-CGC-4,1,
105.09,135406724,Clavo Gamma en titanio 11x24,AP/BAN-CGC-4,1,
107.01,135400275,Tornillo deslizante en titanio 10.4x75mm,AP/BAN-CGC-4,1,
107.02,135400280,Tornillo deslizante en titanio 10.4x80mm,AP/BAN-CGC-4,1,
107.03,135400285,Tornillo deslizante en titanio 10.4x85mm,AP/BAN-CGC-4,1,
107.04,135400290,Tornillo deslizante en titanio 10.4x90mm,AP/BAN-CGC-4,1,
107.05,135400295,Tornillo deslizante en titanio 10.4x95mm,AP/BAN-CGC-4,1,
108,,Candado para clavo Gamma en titanio,AP/BAN-CGC-4,2,
102.01,135400036,Tornillo de bloqueo en titanio 4.9x36mm,AP/BAN-CGC-4,3,
102.02,135400038,Tornillo de bloqueo en titanio 4.9x38mm,AP/BAN-CGC-4,3,
102.03,135400040,Tornillo de bloqueo en titanio 4.9x40mm,AP/BAN-CGC-4,3,
102.04,135400042,Tornillo de bloqueo en titanio 4.9x42mm,AP/BAN-CGC-4,3,
105.01,135406517,Clavo Gamma en titanio 9x17,AP/BAN-CGC-5,1,
105.02,135406520,Clavo Gamma en titanio 9x20,AP/BAN-CGC-5,1,
105.03,135406524,Clavo Gamma en titanio 9x24,AP/BAN-CGC-5,1,
105.04,135406617,Clavo Gamma en titanio 10x17,AP/BAN-CGC-5,1,
105.05,135406620,Clavo Gamma en titanio 10x20,AP/BAN-CGC-5,1,
105.06,135406624,Clavo Gamma en titanio 10x24,AP/BAN-CGC-5,1,
105.07,135406717,Clavo Gamma en titanio 11x17,AP/BAN-CGC-5,1,
105.08,135406720,Clavo Gamma en titanio 11x20,AP/BAN-CGC-5,1,
105.09,135406724,Clavo Gamma en titanio 11x24,AP/BAN-CGC-5,1,
107.01,135400275,Tornillo deslizante en titanio 10.4x75mm,AP/BAN-CGC-5,1,
107.02,135400280,Tornillo deslizante en titanio 10.4x80mm,AP/BAN-CGC-5,1,
107.03,135400285,Tornillo deslizante en titanio 10.4x85mm,AP/BAN-CGC-5,1,
107.04,135400290,Tornillo deslizante en titanio 10.4x90mm,AP/BAN-CGC-5,1,
107.05,135400295,Tornillo deslizante en titanio 10.4x95mm,AP/BAN-CGC-5,1,
108,,Candado para clavo Gamma en titanio,AP/BAN-CGC-5,2,
102.01,135400036,Tornillo de bloqueo en titanio 4.9x36mm,AP/BAN-CGC-5,3,
102.02,135400038,Tornillo de bloqueo en titanio 4.9x38mm,AP/BAN-CGC-5,3,
102.03,135400040,Tornillo de bloqueo en titanio 4.9x40mm,AP/BAN-CGC-5,3,
102.04,135400042,Tornillo de bloqueo en titanio 4.9x42mm,AP/BAN-CGC-5,3,
105.01,135406517,Clavo Gamma en titanio 9x17,AP/BAN-CGC-6,1,
105.02,135406520,Clavo Gamma en titanio 9x20,AP/BAN-CGC-6,1,
105.03,135406524,Clavo Gamma en titanio 9x24,AP/BAN-CGC-6,1,
105.04,135406617,Clavo Gamma en titanio 10x17,AP/BAN-CGC-6,1,
105.05,135406620,Clavo Gamma en titanio 10x20,AP/BAN-CGC-6,1,
105.06,135406624,Clavo Gamma en titanio 10x24,AP/BAN-CGC-6,1,
105.07,135406717,Clavo Gamma en titanio 11x17,AP/BAN-CGC-6,1,
105.08,135406720,Clavo Gamma en titanio 11x20,AP/BAN-CGC-6,1,
105.09,135406724,Clavo Gamma en titanio 11x24,AP/BAN-CGC-6,1,
107.01,135400275,Tornillo deslizante en titanio 10.4x75mm,AP/BAN-CGC-6,1,
107.02,135400280,Tornillo deslizante en titanio 10.4x80mm,AP/BAN-CGC-6,1,
107.03,135400285,Tornillo deslizante en titanio 10.4x85mm,AP/BAN-CGC-6,1,
107.04,135400290,Tornillo deslizante en titanio 10.4x90mm,AP/BAN-CGC-6,1,
107.05,135400295,Tornillo deslizante en titanio 10.4x95mm,AP/BAN-CGC-6,1,
108,,Candado para clavo Gamma en titanio,AP/BAN-CGC-6,2,
102.01,135400036,Tornillo de bloqueo en titanio 4.9x36mm,AP/BAN-CGC-6,3,
102.02,135400038,Tornillo de bloqueo en titanio 4.9x38mm,AP/BAN-CGC-6,3,
102.03,135400040,Tornillo de bloqueo en titanio 4.9x40mm,AP/BAN-CGC-6,3,
102.04,135400042,Tornillo de bloqueo en titanio 4.9x42mm,AP/BAN-CGC-6,3,
106.02,135403536,Clavo Gamma largo en titanio 9x36 izq.,AP/BAN-CGL-1,1,
106.03,135403538,Clavo Gamma largo en titanio 9x38 izq.,AP/BAN-CGL-1,1,
106.04,135403636,Clavo Gamma largo en titanio 10x36 izq.,AP/BAN-CGL-1,1,
106.05,135403638,Clavo Gamma largo en titanio 10x38 izq.,AP/BAN-CGL-1,1,
106.06,135403640,Clavo Gamma largo en titanio 10x40 izq.,AP/BAN-CGL-1,1,
106.07,135403642,Clavo Gamma largo en titanio 10x42 izq.,AP/BAN-CGL-1,1,
106.09,135403738,Clavo Gamma largo en titanio 11x38 izq.,AP/BAN-CGL-1,1,
106.1,135403740,Clavo Gamma largo en titanio 11x40 izq.,AP/BAN-CGL-1,1,
106.11,135403742,Clavo Gamma largo en titanio 11x42 izq.,AP/BAN-CGL-1,1,
106.14,135404536,Clavo Gamma largo en titanio 9x36 der.,AP/BAN-CGL-1,1,
106.15,135404538,Clavo Gamma largo en titanio 9x38 der.,AP/BAN-CGL-1,1,
106.16,135404636,Clavo Gamma largo en titanio 10x36 der.,AP/BAN-CGL-1,1,
106.17,135404638,Clavo Gamma largo en titanio 10x38 der.,AP/BAN-CGL-1,1,
106.18,135404640,Clavo Gamma largo en titanio 10x40 der.,AP/BAN-CGL-1,1,
106.19,135404642,Clavo Gamma largo en titanio 10x42 der.,AP/BAN-CGL-1,1,
106.21,135404738,Clavo Gamma largo en titanio 11x38 der.,AP/BAN-CGL-1,1,
106.22,135404740,Clavo Gamma largo en titanio 11x40 der.,AP/BAN-CGL-1,1,
106.23,135404742,Clavo Gamma largo en titanio 11x42 der.,AP/BAN-CGL-1,1,
102.01,135400036,Tornillo de bloqueo en titanio 4.9x36mm,AP/BAN-CGL-1,2,
102.02,135400038,Tornillo de bloqueo en titanio 4.9x38mm,AP/BAN-CGL-1,2,
102.03,135400040,Tornillo de bloqueo en titanio 4.9x40mm,AP/BAN-CGL-1,2,
102.04,135400042,Tornillo de bloqueo en titanio 4.9x42mm,AP/BAN-CGL-1,2,
102.05,135400044,Tornillo de bloqueo en titanio 4.9x44mm,AP/BAN-CGL-1,2,
102.06,135400046,Tornillo de bloqueo en titanio 4.9x46mm,AP/BAN-CGL-1,2,
102.07,135400048,Tornillo de bloqueo en titanio 4.9x48mm,AP/BAN-CGL-1,2,
102.08,135400050,Tornillo de bloqueo en titanio 4.9x50mm,AP/BAN-CGL-1,2,
102.09,135400052,Tornillo de bloqueo en titanio 4.9x52mm,AP/BAN-CGL-1,2,
102.1,135400056,Tornillo de bloqueo en titanio 4.9x56mm,AP/BAN-CGL-1,2,
102.11,135400060,Tornillo de bloqueo en titanio 4.9x60mm,AP/BAN-CGL-1,2,
102.12,135400064,Tornillo de bloqueo en titanio 4.9x64mm,AP/BAN-CGL-1,2,
102.13,135400068,Tornillo de bloqueo en titanio 4.9x68mm,AP/BAN-CGL-1,2,
102.15,135400072,Tornillo de bloqueo en titanio 4.9x72mm,AP/BAN-CGL-1,2,
102.17,135400080,Tornillo de bloqueo en titanio 4.9x80mm,AP/BAN-CGL-1,2,
106.02,135403536,Clavo Gamma largo en titanio 9x36 izq.,AP/BAN-CGL-2,1,
106.03,135403538,Clavo Gamma largo en titanio 9x38 izq.,AP/BAN-CGL-2,1,
106.04,135403636,Clavo Gamma largo en titanio 10x36 izq.,AP/BAN-CGL-2,1,
106.05,135403638,Clavo Gamma largo en titanio 10x38 izq.,AP/BAN-CGL-2,1,
106.06,135403640,Clavo Gamma largo en titanio 10x40 izq.,AP/BAN-CGL-2,1,
106.07,135403642,Clavo Gamma largo en titanio 10x42 izq.,AP/BAN-CGL-2,1,
106.09,135403738,Clavo Gamma largo en titanio 11x38 izq.,AP/BAN-CGL-2,1,
106.1,135403740,Clavo Gamma largo en titanio 11x40 izq.,AP/BAN-CGL-2,1,
106.11,135403742,Clavo Gamma largo en titanio 11x42 izq.,AP/BAN-CGL-2,1,
106.13,135404534,Clavo Gamma largo en titanio 9x34 Der,AP/BAN-CGL-2,1,
106.14,135404536,Clavo Gamma largo en titanio 9x36 der.,AP/BAN-CGL-2,1,
106.15,135404538,Clavo Gamma largo en titanio 9x38 der.,AP/BAN-CGL-2,1,
106.16,135404636,Clavo Gamma largo en titanio 10x36 der.,AP/BAN-CGL-2,1,
106.17,135404638,Clavo Gamma largo en titanio 10x38 der.,AP/BAN-CGL-2,1,
106.18,135404640,Clavo Gamma largo en titanio 10x40 der.,AP/BAN-CGL-2,1,
106.19,135404642,Clavo Gamma largo en titanio 10x42 der.,AP/BAN-CGL-2,1,
106.21,135404738,Clavo Gamma largo en titanio 11x38 der.,AP/BAN-CGL-2,1,
106.22,135404740,Clavo Gamma largo en titanio 11x40 der.,AP/BAN-CGL-2,1,
106.23,135404742,Clavo Gamma largo en titanio 11x42 der.,AP/BAN-CGL-2,1,
102.01,135400036,Tornillo de bloqueo en titanio 4.9x36mm,AP/BAN-CGL-2,2,
102.02,135400038,Tornillo de bloqueo en titanio 4.9x38mm,AP/BAN-CGL-2,2,
102.03,135400040,Tornillo de bloqueo en titanio 4.9x40mm,AP/BAN-CGL-2,2,
102.04,135400042,Tornillo de bloqueo en titanio 4.9x42mm,AP/BAN-CGL-2,2,
102.05,135400044,Tornillo de bloqueo en titanio 4.9x44mm,AP/BAN-CGL-2,2,
102.06,135400046,Tornillo de bloqueo en titanio 4.9x46mm,AP/BAN-CGL-2,2,
102.07,135400048,Tornillo de bloqueo en titanio 4.9x48mm,AP/BAN-CGL-2,2,
102.08,135400050,Tornillo de bloqueo en titanio 4.9x50mm,AP/BAN-CGL-2,2,
102.09,135400052,Tornillo de bloqueo en titanio 4.9x52mm,AP/BAN-CGL-2,2,
102.1,135400056,Tornillo de bloqueo en titanio 4.9x56mm,AP/BAN-CGL-2,2,
102.11,135400060,Tornillo de bloqueo en titanio 4.9x60mm,AP/BAN-CGL-2,2,
102.12,135400064,Tornillo de bloqueo en titanio 4.9x64mm,AP/BAN-CGL-2,2,
102.13,135400068,Tornillo de bloqueo en titanio 4.9x68mm,AP/BAN-CGL-2,2,
102.15,135400072,Tornillo de bloqueo en titanio 4.9x72mm,AP/BAN-CGL-2,2,
102.17,135400080,Tornillo de bloqueo en titanio 4.9x80mm,AP/BAN-CGL-2,2,
106.01,135403534,Clavo Gamma largo en titanio 9x34 izq.,AP/BAN-CGL-3,0,
106.02,135403536,Clavo Gamma largo en titanio 9x36 izq.,AP/BAN-CGL-3,1,
106.03,135403538,Clavo Gamma largo en titanio 9x38 izq.,AP/BAN-CGL-3,1,
106.04,135403636,Clavo Gamma largo en titanio 10x36 izq.,AP/BAN-CGL-3,1,
106.05,135403638,Clavo Gamma largo en titanio 10x38 izq.,AP/BAN-CGL-3,1,
106.06,135403640,Clavo Gamma largo en titanio 10x40 izq.,AP/BAN-CGL-3,1,
106.07,135403642,Clavo Gamma largo en titanio 10x42 izq.,AP/BAN-CGL-3,1,
106.09,135403738,Clavo Gamma largo en titanio 11x38 izq.,AP/BAN-CGL-3,1,
106.1,135403740,Clavo Gamma largo en titanio 11x40 izq.,AP/BAN-CGL-3,1,
106.11,135403742,Clavo Gamma largo en titanio 11x42 izq.,AP/BAN-CGL-3,1,
106.13,135404534,Clavo Gamma largo en titanio 9x34 Der,AP/BAN-CGL-3,0,
106.14,135404536,Clavo Gamma largo en titanio 9x36 der.,AP/BAN-CGL-3,1,
106.15,135404538,Clavo Gamma largo en titanio 9x38 der.,AP/BAN-CGL-3,1,
106.16,135404636,Clavo Gamma largo en titanio 10x36 der.,AP/BAN-CGL-3,1,
106.17,135404638,Clavo Gamma largo en titanio 10x38 der.,AP/BAN-CGL-3,1,
106.18,135404640,Clavo Gamma largo en titanio 10x40 der.,AP/BAN-CGL-3,1,
106.19,135404642,Clavo Gamma largo en titanio 10x42 der.,AP/BAN-CGL-3,1,
106.21,135404738,Clavo Gamma largo en titanio 11x38 der.,AP/BAN-CGL-3,1,
106.22,135404740,Clavo Gamma largo en titanio 11x40 der.,AP/BAN-CGL-3,1,
106.23,135404742,Clavo Gamma largo en titanio 11x42 der.,AP/BAN-CGL-3,1,
102.01,135400036,Tornillo de bloqueo en titanio 4.9x36mm,AP/BAN-CGL-3,2,
102.02,135400038,Tornillo de bloqueo en titanio 4.9x38mm,AP/BAN-CGL-3,2,
102.03,135400040,Tornillo de bloqueo en titanio 4.9x40mm,AP/BAN-CGL-3,2,
102.04,135400042,Tornillo de bloqueo en titanio 4.9x42mm,AP/BAN-CGL-3,2,
102.05,135400044,Tornillo de bloqueo en titanio 4.9x44mm,AP/BAN-CGL-3,2,
102.06,135400046,Tornillo de bloqueo en titanio 4.9x46mm,AP/BAN-CGL-3,2,
102.07,135400048,Tornillo de bloqueo en titanio 4.9x48mm,AP/BAN-CGL-3,2,
102.08,135400050,Tornillo de bloqueo en titanio 4.9x50mm,AP/BAN-CGL-3,2,
102.09,135400052,Tornillo de bloqueo en titanio 4.9x52mm,AP/BAN-CGL-3,2,
102.1,135400056,Tornillo de bloqueo en titanio 4.9x56mm,AP/BAN-CGL-3,2,
102.11,135400060,Tornillo de bloqueo en titanio 4.9x60mm,AP/BAN-CGL-3,2,
102.12,135400064,Tornillo de bloqueo en titanio 4.9x64mm,AP/BAN-CGL-3,2,
102.13,135400068,Tornillo de bloqueo en titanio 4.9x68mm,AP/BAN-CGL-3,2,
102.15,135400072,Tornillo de bloqueo en titanio 4.9x72mm,AP/BAN-CGL-3,2,
102.17,135400080,Tornillo de bloqueo en titanio 4.9x80mm,AP/BAN-CGL-3,2,
201.01,123421107,Placa LISS distal de Fémur en titanio de 7 orificios izq.,AP/BAN-PLF-1,1,
201.02,123421109,Placa LISS distal de Fémur en titanio de 9 orificios izq.,AP/BAN-PLF-1,1,
201.03,123421111,Placa LISS distal de Fémur en titanio de 11 orificios izq.,AP/BAN-PLF-1,1,
201.04,123421113,Placa LISS distal de Fémur en titanio de 13 orificios izq.,AP/BAN-PLF-1,1,
201.05,123421207,Placa LISS distal de Fémur en titanio de 7 orificios der. ,AP/BAN-PLF-1,1,
201.06,123421209,Placa LISS distal de Fémur en titanio de 9 orificios der. ,AP/BAN-PLF-1,1,
201.07,123421211,Placa LISS distal de Fémur en titanio de 11 orificios der. ,AP/BAN-PLF-1,1,
201.08,123421213,Placa LISS distal de Fémur en titanio de 13 orificios der. ,AP/BAN-PLF-1,1,
207.08,133202032,Tornillo bloqueado en titanio 5.0x32mm,AP/BAN-PLF-1,2,
207.1,133202036,Tornillo bloqueado en titanio 5.0x36mm,AP/BAN-PLF-1,4,
207.11,133202038,Tornillo bloqueado en titanio 5.0x38mm,AP/BAN-PLF-1,4,
207.12,133202040,Tornillo bloqueado en titanio 5.0x40mm,AP/BAN-PLF-1,4,
207.13,133202042,Tornillo bloqueado en titanio 5.0x42mm,AP/BAN-PLF-1,3,
207.14,133202044,Tornillo bloqueado en titanio 5.0x44mm,AP/BAN-PLF-1,2,
207.15,133202046,Tornillo bloqueado en titanio 5.0x46mm,AP/BAN-PLF-1,2,
207.17,133202050,Tornillo bloqueado en titanio 5.0x50mm,AP/BAN-PLF-1,2,
207.18,133202055,Tornillo bloqueado en titanio 5.0x55mm,AP/BAN-PLF-1,2,
207.19,133202060,Tornillo bloqueado en titanio 5.0x60mm,AP/BAN-PLF-1,2,
207.2,133202065,Tornillo bloqueado en titanio 5.0x65mm,AP/BAN-PLF-1,4,
207.21,133202070,Tornillo bloqueado en titanio 5.0x70mm,AP/BAN-PLF-1,4,
207.22,133202075,Tornillo bloqueado en titanio 5.0x75mm,AP/BAN-PLF-1,6,
207.23,133202080,Tornillo bloqueado en titanio 5.0x80mm,AP/BAN-PLF-1,6,
207.24,133202085,Tornillo bloqueado en titanio 5.0x85mm,AP/BAN-PLF-1,6,
207.25,133202090,Tornillo bloqueado en titanio 5.0x90mm,AP/BAN-PLF-1,6,
207.26,133202095,Tornillo bloqueado en titanio 5.0x95mm,AP/BAN-PLF-1,6,
209.06,133111036,Tornillo Cortical en titanio 4.5x36mm,AP/BAN-PLF-1,2,
209.07,133111038,Tornillo Cortical en titanio 4.5x38mm,AP/BAN-PLF-1,2,
209.08,133111040,Tornillo Cortical en titanio 4.5x40mm,AP/BAN-PLF-1,2,
209.09,133111042,Tornillo Cortical en titanio 4.5x42mm,AP/BAN-PLF-1,2,
209.1,133111044,Tornillo Cortical en titanio 4.5x44mm,AP/BAN-PLF-1,2,
209.11,133111046,Tornillo Cortical en titanio 4.5x46mm,AP/BAN-PLF-1,2,
209.13,133111050,Tornillo Cortical en titanio 4.5x50mm,AP/BAN-PLF-1,2,
209.14,133111054,Tornillo Cortical en titanio 4.5x54mm,AP/BAN-PLF-1,2,
209.15,133111058,Tornillo Cortical en titanio 4.5x58mm,AP/BAN-PLF-1,2,
210.02,133115060,Tornillo de Esponjosa de rosca parcial en titanio 6.5x60mm,AP/BAN-PLF-1,2,
210.03,133115065,Tornillo de Esponjosa de rosca parcial en titanio 6.5x65mm,AP/BAN-PLF-1,2,
210.04,133115070,Tornillo de Esponjosa de rosca parcial en titanio 6.5x70mm,AP/BAN-PLF-1,2,
210.05,133115075,Tornillo de Esponjosa de rosca parcial en titanio 6.5x75mm,AP/BAN-PLF-1,2,
210.06,133115080,Tornillo de Esponjosa de rosca parcial en titanio 6.5x80mm,AP/BAN-PLF-1,2,
210.07,133115085,Tornillo de Esponjosa de rosca parcial en titanio 6.5x85mm,AP/BAN-PLF-1,2,
210.08,133115090,Tornillo de Esponjosa de rosca parcial en titanio 6.5x90mm,AP/BAN-PLF-1,2,
210.09,133115095,Tornillo de Esponjosa de rosca parcial en titanio 6.5x95mm,AP/BAN-PLF-1,2,
210.1,133115100,Tornillo de Esponjosa de rosca parcial en titanio 6.5x100mm,AP/BAN-PLF-1,2,
201.01,123421107,Placa LISS distal de Fémur en titanio de 7 orificios izq.,AP/BAN-PLF-2,1,
201.02,123421109,Placa LISS distal de Fémur en titanio de 9 orificios izq.,AP/BAN-PLF-2,1,
201.03,123421111,Placa LISS distal de Fémur en titanio de 11 orificios izq.,AP/BAN-PLF-2,1,
201.04,123421113,Placa LISS distal de Fémur en titanio de 13 orificios izq.,AP/BAN-PLF-2,1,
201.05,123421207,Placa LISS distal de Fémur en titanio de 7 orificios der. ,AP/BAN-PLF-2,1,
201.06,123421209,Placa LISS distal de Fémur en titanio de 9 orificios der. ,AP/BAN-PLF-2,1,
201.07,123421211,Placa LISS distal de Fémur en titanio de 11 orificios der. ,AP/BAN-PLF-2,1,
201.08,123421213,Placa LISS distal de Fémur en titanio de 13 orificios der. ,AP/BAN-PLF-2,1,
207.08,133202032,Tornillo bloqueado en titanio 5.0x32mm,AP/BAN-PLF-2,2,
207.1,133202036,Tornillo bloqueado en titanio 5.0x36mm,AP/BAN-PLF-2,4,
207.11,133202038,Tornillo bloqueado en titanio 5.0x38mm,AP/BAN-PLF-2,4,
207.12,133202040,Tornillo bloqueado en titanio 5.0x40mm,AP/BAN-PLF-2,4,
207.13,133202042,Tornillo bloqueado en titanio 5.0x42mm,AP/BAN-PLF-2,4,
207.14,133202044,Tornillo bloqueado en titanio 5.0x44mm,AP/BAN-PLF-2,2,
207.15,133202046,Tornillo bloqueado en titanio 5.0x46mm,AP/BAN-PLF-2,2,
207.17,133202050,Tornillo bloqueado en titanio 5.0x50mm,AP/BAN-PLF-2,2,
207.18,133202055,Tornillo bloqueado en titanio 5.0x55mm,AP/BAN-PLF-2,2,
207.19,133202060,Tornillo bloqueado en titanio 5.0x60mm,AP/BAN-PLF-2,4,
207.2,133202065,Tornillo bloqueado en titanio 5.0x65mm,AP/BAN-PLF-2,4,
207.21,133202070,Tornillo bloqueado en titanio 5.0x70mm,AP/BAN-PLF-2,5,
207.22,133202075,Tornillo bloqueado en titanio 5.0x75mm,AP/BAN-PLF-2,6,
207.23,133202080,Tornillo bloqueado en titanio 5.0x80mm,AP/BAN-PLF-2,6,
207.24,133202085,Tornillo bloqueado en titanio 5.0x85mm,AP/BAN-PLF-2,6,
207.25,133202090,Tornillo bloqueado en titanio 5.0x90mm,AP/BAN-PLF-2,6,
207.26,133202095,Tornillo bloqueado en titanio 5.0x95mm,AP/BAN-PLF-2,6,
209.06,133111036,Tornillo Cortical en titanio 4.5x36mm,AP/BAN-PLF-2,2,
209.07,133111038,Tornillo Cortical en titanio 4.5x38mm,AP/BAN-PLF-2,2,
209.08,133111040,Tornillo Cortical en titanio 4.5x40mm,AP/BAN-PLF-2,2,
209.09,133111042,Tornillo Cortical en titanio 4.5x42mm,AP/BAN-PLF-2,2,
209.1,133111044,Tornillo Cortical en titanio 4.5x44mm,AP/BAN-PLF-2,2,
209.11,133111046,Tornillo Cortical en titanio 4.5x46mm,AP/BAN-PLF-2,2,
209.13,133111050,Tornillo Cortical en titanio 4.5x50mm,AP/BAN-PLF-2,2,
209.14,133111054,Tornillo Cortical en titanio 4.5x54mm,AP/BAN-PLF-2,2,
209.15,133111058,Tornillo Cortical en titanio 4.5x58mm,AP/BAN-PLF-2,2,
210.02,133115060,Tornillo de Esponjosa de rosca parcial en titanio 6.5x60mm,AP/BAN-PLF-2,2,
210.03,133115065,Tornillo de Esponjosa de rosca parcial en titanio 6.5x65mm,AP/BAN-PLF-2,2,
210.04,133115070,Tornillo de Esponjosa de rosca parcial en titanio 6.5x70mm,AP/BAN-PLF-2,2,
210.05,133115075,Tornillo de Esponjosa de rosca parcial en titanio 6.5x75mm,AP/BAN-PLF-2,2,
210.06,133115080,Tornillo de Esponjosa de rosca parcial en titanio 6.5x80mm,AP/BAN-PLF-2,2,
210.07,133115085,Tornillo de Esponjosa de rosca parcial en titanio 6.5x85mm,AP/BAN-PLF-2,2,
210.08,133115090,Tornillo de Esponjosa de rosca parcial en titanio 6.5x90mm,AP/BAN-PLF-2,2,
210.09,133115095,Tornillo de Esponjosa de rosca parcial en titanio 6.5x95mm,AP/BAN-PLF-2,2,
210.1,133115100,Tornillo de Esponjosa de rosca parcial en titanio 6.5x100mm,AP/BAN-PLF-2,2,
201.01,123421107,Placa LISS distal de Fémur en titanio de 7 orificios izq.,AP/BAN-PLF-3,1,
201.02,123421109,Placa LISS distal de Fémur en titanio de 9 orificios izq.,AP/BAN-PLF-3,1,
201.03,123421111,Placa LISS distal de Fémur en titanio de 11 orificios izq.,AP/BAN-PLF-3,1,
201.04,123421113,Placa LISS distal de Fémur en titanio de 13 orificios izq.,AP/BAN-PLF-3,1,
201.05,123421207,Placa LISS distal de Fémur en titanio de 7 orificios der. ,AP/BAN-PLF-3,1,
201.06,123421209,Placa LISS distal de Fémur en titanio de 9 orificios der. ,AP/BAN-PLF-3,1,
201.07,123421211,Placa LISS distal de Fémur en titanio de 11 orificios der. ,AP/BAN-PLF-3,1,
201.08,123421213,Placa LISS distal de Fémur en titanio de 13 orificios der. ,AP/BAN-PLF-3,1,
207.08,133202032,Tornillo bloqueado en titanio 5.0x32mm,AP/BAN-PLF-3,1,
207.1,133202036,Tornillo bloqueado en titanio 5.0x36mm,AP/BAN-PLF-3,4,
207.11,133202038,Tornillo bloqueado en titanio 5.0x38mm,AP/BAN-PLF-3,4,
207.12,133202040,Tornillo bloqueado en titanio 5.0x40mm,AP/BAN-PLF-3,4,
207.13,133202042,Tornillo bloqueado en titanio 5.0x42mm,AP/BAN-PLF-3,4,
207.14,133202044,Tornillo bloqueado en titanio 5.0x44mm,AP/BAN-PLF-3,2,
207.15,133202046,Tornillo bloqueado en titanio 5.0x46mm,AP/BAN-PLF-3,2,
207.17,133202050,Tornillo bloqueado en titanio 5.0x50mm,AP/BAN-PLF-3,2,
207.18,133202055,Tornillo bloqueado en titanio 5.0x55mm,AP/BAN-PLF-3,2,
207.19,133202060,Tornillo bloqueado en titanio 5.0x60mm,AP/BAN-PLF-3,4,
207.2,133202065,Tornillo bloqueado en titanio 5.0x65mm,AP/BAN-PLF-3,4,
207.21,133202070,Tornillo bloqueado en titanio 5.0x70mm,AP/BAN-PLF-3,4,
207.22,133202075,Tornillo bloqueado en titanio 5.0x75mm,AP/BAN-PLF-3,6,
207.23,133202080,Tornillo bloqueado en titanio 5.0x80mm,AP/BAN-PLF-3,6,
207.24,133202085,Tornillo bloqueado en titanio 5.0x85mm,AP/BAN-PLF-3,6,
207.25,133202090,Tornillo bloqueado en titanio 5.0x90mm,AP/BAN-PLF-3,6,
207.26,133202095,Tornillo bloqueado en titanio 5.0x95mm,AP/BAN-PLF-3,6,
209.06,133111036,Tornillo Cortical en titanio 4.5x36mm,AP/BAN-PLF-3,2,
209.07,133111038,Tornillo Cortical en titanio 4.5x38mm,AP/BAN-PLF-3,2,
209.08,133111040,Tornillo Cortical en titanio 4.5x40mm,AP/BAN-PLF-3,2,
209.09,133111042,Tornillo Cortical en titanio 4.5x42mm,AP/BAN-PLF-3,2,
209.1,133111044,Tornillo Cortical en titanio 4.5x44mm,AP/BAN-PLF-3,2,
209.11,133111046,Tornillo Cortical en titanio 4.5x46mm,AP/BAN-PLF-3,2,
209.13,133111050,Tornillo Cortical en titanio 4.5x50mm,AP/BAN-PLF-3,2,
209.14,133111054,Tornillo Cortical en titanio 4.5x54mm,AP/BAN-PLF-3,2,
209.15,133111058,Tornillo Cortical en titanio 4.5x58mm,AP/BAN-PLF-3,2,
210.02,133115060,Tornillo de Esponjosa de rosca parcial en titanio 6.5x60mm,AP/BAN-PLF-3,2,
210.03,133115065,Tornillo de Esponjosa de rosca parcial en titanio 6.5x65mm,AP/BAN-PLF-3,2,
210.04,133115070,Tornillo de Esponjosa de rosca parcial en titanio 6.5x70mm,AP/BAN-PLF-3,2,
210.05,133115075,Tornillo de Esponjosa de rosca parcial en titanio 6.5x75mm,AP/BAN-PLF-3,2,
210.06,133115080,Tornillo de Esponjosa de rosca parcial en titanio 6.5x80mm,AP/BAN-PLF-3,2,
210.07,133115085,Tornillo de Esponjosa de rosca parcial en titanio 6.5x85mm,AP/BAN-PLF-3,2,
